label,question,syn_question
長榮空服員罷工愈演愈烈 台大教授支持…2019-05-13 12:10 經濟日報 記者 經濟日報 記者 葉卉軒 即時報導桃園市空服員職業工會長榮航空勞資爭議越演越烈台大國發教授辛炳隆13日呼籲國人關勞動意識社會教育明顯不足上次華航機師罷工再到長榮空服員醞釀罷工國人消費者自居往往忘受僱勞工辛炳隆建議國人應以更理性客觀態度看待合法罷工會影響權益但長榮空服員合法取得罷工權辛炳隆直言合法罷工沒有不好國外例子比比皆是勞資透過協商更進一步瞭解想法需求,空服罷工投票最新會員數曝光 若達兩數字取得罷工權2019-05-13 13:11 聯合報 記者 聯合報 記者 曹悅華 即時報導桃園市空服員職業工會啟動罷工投票最新會員數曝光總人數5933會員同意票必須超過一半2967長榮分會會員數則3276八成必須2621投同意票順利取得罷工權工會稍早公布最新會員數字總會員數5933長榮分會會員為3276同意票超過總會員數一半且長榮會員超過八成便取得罷工權意即2967位會員投下同意票且長榮分會會員要超過2621可能發動罷工長榮勞資雙方第三度協商破裂正式啟動罷工投票月13日到26日由長榮分會先投票27日到月日則華航及航空服會員投票了解工會目前規畫月日結束投票當天傍晚時開票地點尚未決定預計會邀請勞動部桃園市勞動局官員一同來見證月26日長榮分會結束投票當天投票率未達成門檻會提前宣布,1
男夜闖高雄立委服務處 帶球棒欲人談債務2019-05-13 00:03 聯合報 記者 聯合報 記者 林伯驊 即時報導高雄立委位左營區服務處昨晚點多驚傳遭數名男子闖入嗆聲要找一名姓萬男子服務處人員急報案地方敏感左營分局派出警網趕抵現場沒發現刀械違禁品沒打架滋事仍將名男子帶回詢問並盤查身分初步了解商談債務該民代無關警方擬依社維法開罰究辦了解萬姓男子疑有民代服務處協助雜務非正式職員萬向警方透露之前借給友人200多萬這名友人遭欠約400萬萬欠債者處理債務沒想到昨晚萬接到電話語帶威脅質疑這筆錢一定要討方詢問在工作萬便告知服務處地址晚間點多發生不明人士突闖入左營分局指出約點11分獲報左營子路華夏路口便利超商數名年輕人聚集文自所組快打部隊到場發現名男子帶著球棒未發現攜帶刀械警方名男子帶回派出所初步了解萬姓男子債務糾紛約民代服務處商談當下萬正好服務處,前漁會理事長出海失聯 梗枋外海賞鯨船救起2019-05-12 18:33 聯合報 記者 聯合報 記者 吳淑君 即時報導前瑞芳漁會王姓理事長昨晚駕駛新漁盛16號漁船鼻頭外13海浬外釣魚失聯家人聯絡急得報案第二巡防區部主任立即指揮調派基隆海巡隊澳底海巡隊整合線上巡防艇立即展開搜尋船長今天梗枋外海賞鯨船超級星及成龍滿漁船救起人員平安基隆海巡隊指出新漁盛16號漁船沒有裝設無線電王姓船長沒帶手機家人無法聯絡非常著急馬調派基隆海巡隊10063艇2022艇巡護六號澳底海巡隊3561艇3566艇艘前往事發海域現場海流流向漁民提供之建議調整進行搜尋另申請空偵機加入搜尋行列藉由海空回搜尋擴大搜索海域範圍期能早發現失聯漁船長還好王姓船長今天梗枋外海賞鯨船超級星及成龍滿漁船救起人員平安傍晚進梗枋漁港,0
財政部長蘇建榮今天表示國安基金密切注意股市備戰必要時會請國安基金管委會主委行政院副院長陳邁召開臨時委員會議評估是否進場護盤蘇建榮指出中美貿易戰是很大事情自中美貿易摩擦國安基金密切關注全球股市發展立法院財委會今日審查境外資金匯回管理運用課稅條例草案立委關注美中貿易戰台股衝擊蘇建榮答覆時作上述表示立委林德福質詢時說總統蔡英文日前召開國安高層會議指示全力維護股匯市安定但外資持續賣超現在是不是國安基金進場護盤時機蘇建榮說目前國安基金進場時機但國安基金密切關注股市動態工商 ,新光投信拿下利安基金總代理新光投信董事長劉坤錫表示新光投信總代理13檔境外基金月開賣更擴大業務發展利安資金管理公司東南亞規模最大資產管理公司總部設新加坡今年月底資產規模約411億美元新光投信總經理陳文雄表示利安資金管理公司母公司新加坡華僑銀行集團OCBC Group東南亞第二金融服務集團新光投信代理利安首波核准銷售基金包括利安資金中國增長日本日本增長印度亞太東南亞泰國馬西亞越南新加坡均衡新加坡信託新馬及韓國13檔境外基金利安資金管理公司旗下越南基金深受台灣民眾喜愛申購金額超過基金規模一半近年停止國人申購鑑中美貿易戰升溫越南可望成為受惠者國人青睞越南基金利安規畫今年發行一檔私募越南基金引導原先越南基金公募機構投資人一部分資金轉向私募挪出限額散戶投資人申購時報資訊,0
鴻海集團董事長郭台銘日前前往內湖花市買母親節花束竟然一個彎腰幫記者綁鞋帶昔日形象差很大舉止連路驚呆名嘴尚毅夫節目中直言不要做太大反差行為做反差行為話剛才東豪說一條娛樂新聞演出一席話酸度爆表尚毅夫日前新聞面對面談起郭台銘幫記者綁鞋帶一事吐槽連連我覺這不會郭台銘加什麼分直言郭台銘動不動告個記者假扣押現在突然說鐵漢柔情幫記者綁鞋帶嘆一口氣認為郭台銘轉變目的選舉反常必是妖這句話聽尚毅夫說反差太人覺正常演出我覺說一個首富蹲下幫綁鞋帶一直覺得會不會幫綁鞋帶不錯……今天走進鴻海看到員工欸鞋帶沒綁幫綁鞋帶不會一媒體邱明玉透露郭台銘此舉媒體眼中沒獲正面能量大部分認為公關公司操作溫層中會覺得矯情霸氣郭董彎腰記者綁鞋帶 98%網友覺得矯情中時電子報,孔鏘日前年代聚焦2.0錄影60歲自爆滿身疾病年輕時拚事業經常扛25公斤重電子琴處跑一天最高紀錄場荷包滿滿拚出一身病導致患有嚴重高低肩脊椎側彎隨時會斷氣睡眠呼吸中止症形容活在生死邊緣節目中接受醫師診斷他還自嘲不用測就知道非常嚴重說入行超過30年年輕時經常背著25公斤重電子琴跑天下現在高低肩超過公分朋友笑說側著走路平時走路坐大腿外側會抽痛愛面子不好意思撐拐杖只能拿雨傘硬撐走路大呼根本職災幽默說這職災要全民買單引發全場人大笑談到自小音樂天賦聽別彈琴彈出旋律音樂需要天分成功努力天分遺傳給兒子小鏘子承衣缽小鏘目前多個知名節目的伴奏成就有目共睹笑言兒子不屑同台需要會找原來兩人風格差異很難共事中時 ,0
不少人喜歡外海賞鯨鯨魚近距離接觸美國加州California一群釣客日前乘船蒙特利灣Monterey Bay海釣期間一頭巨型座頭鯨旁躍出海面船瞬間顯得更渺小一幕畫面攝影師拍下震撼視角眾人驚呼蒙特利灣是著名鯨垂釣勝地吸引不少遊客前往一群釣客至此垂釣期間目擊座頭鯨躍出海面瞬間小船形成強烈一名60歲攝影師克羅夫特Douglas Croft拍驚人瞬間提到最近鮭魚季座頭鯨洄游蒙特利灣覓食月份克羅夫特透露其實這一頭座頭鯨已躍出海面多次當時正在甲板最靠近海面窗拍震撼照片另一名賞鯨民眾康明Kate Cumming則錄整段過程不少網友直呼震撼有人透露去年曾賞過鯨其實鯨魚會避著船遊牠眼中船礁石座頭鯨大翅鯨胸鰭約占身體三分之一成年雄性座頭鯨身長約1314公尺成年雌性則約1415公尺成年鯨重達2530公噸牠大多單獨生活少數會出現群體生活主要以小甲殼類群游性小型魚類食壽命可長達4050年,世界之大無奇這道食物垂涎三尺倒胃口香港一名網友日前PO出一張清蒸豬鼻照片嚇得花容失色不禁好奇問道這應吃畫面曝光引起網友廣大迴響原PO日前臉書分享一道暗黑料理只見一鍋清蒸豬鼻整齊排列鐵盤仔細一看造型相似麵包同形狀製品貨真價實的豬鼻子大大的鼻孔洞上還插著長長青蔥完全傻眼畫面曝光引起熱議不少好奇問說豬的全身上下吃過地方到底吃買會幫切片直接啃太震撼會不會吃鼻屎有人笑虧二師兄死好慘網友推有人告訴這是豬鼻子超好吃,0
受不了歲男嬰哭鬧 婦人失手打死男友孫重判10年2019-05-15 14:07 聯合報 記者 聯合報 記者 邱瑞杰 即時報導蔡姓婦子照顧同居人歲月外孫煮晚飯時男嬰哭鬧不停用手毆男嬰頭部導致顱內出血傷害死亡基隆地院今天上午宣判依傷害致死罪判處蔡婦10年徒刑全案可上訴檢警調查男嬰台南出生因媽媽生第二胎坐月子2016年10月間男嬰送到基隆給男嬰外公同居40多歲蔡婦照顧同年12月某日傍晚男嬰外公出門上班蔡婦男嬰在家蔡婦點煮晚飯時男嬰不斷哭鬧蔡婦生氣用手毆男嬰頭部男嬰因腦部瘀血四肢抽搐蔡婦看到男嬰出狀況並未送醫餵吃平日服用肌肉鬆弛劑見沒好轉拖午夜報案求救男嬰送到醫院時頭部右手處瘀傷醫院研判兒虐案件急救仍告不治救治男嬰李姓醫師檢方證稱男嬰院時腦膜出血有腦疝視綱膜雙側出血範圍不小推斷生前用力搖晃外力所致檢方解剖認定男嬰支氣管炎肺泡性肺炎出血肝胰炎導致重度腦水腫併發腦疝多重器官休克死亡,受賄44萬元護航承包商 基隆產發處技正貪汙判10年2019-05-15 13:37 聯合報 記者 聯合報 記者 邱瑞杰 即時報導基隆市政府產業發展處發包13件漁港疏濬防坡堤補拋消波塊委託設計監造工作均周姓男子開設公司承辦周為求順利履約請款這是資料這是保險單名義多次行賄產發處楊姓技士共44萬元基隆地院審結依違反貪汙治罪條例罪判處楊10年有期徒刑褫奪公權年檢方起訴指出產發處2013年2017年間辦理正濱漁港八斗子漁港長潭里漁港水域疏浚防波堤補拋消波塊工程設計監造招標案合計13件預算總共1266萬8968元均周姓男子經營公司得標周男知道楊姓技士有權監工疏失文件逾期缺失公司依約裁罰順利請領費用周自2015年月多次行賄楊付款項時稱這是紅包請照顧一下這是資料這是保險單暗示內有賄款楊收44萬元周男今年月另案檢方收押楊得知怕東窗事發透過簡姓友人將裝24萬元紙袋退還給周簡稱忘此事紙袋一直放在車上廉政署追查想起此事24萬元交給廉政署,0
高雄市長韓國瑜市議會備詢時市府團隊政風問題引用歷史明朝懲貪做法表決心中天新聞高雄市長韓國瑜去年九合一選舉時說過貪汙不要假釋關到死高雄市議會備詢時再次重申貪汙零容忍強調會以身作則整肅高雄市府硬派作風許多民眾有感稱幾任市長中魄力網友說韓市長 太讚高雄市議會進行市政總質詢議員以高雄市府16億餘元地方回饋金用主題質疑市府團隊風氣市長韓國瑜引用歷史回答強調要當市府團隊表帥重申韓國瑜貪污不要假釋還舉例說歷史整治貪污厲害應明朝明朝抓到貧官會用水銀從腦袋開個洞灌進去皮跳剝稻草塞進人皮掛在衙門貪污變成人皮更當場正式宣告韓國瑜貪污不要假釋總是覺得民主政治典範出一個很小很小人物率先告訴市政府團隊決心韓市長硬派作風許多民眾有感讚許市長中魄力網友說韓市長 太讚政治官員請仿照韓國瑜做此零貪污宣言中時電子報,高雄市議會綠營市議員吃誠實豆沙包日前民進黨團總召韓賜村誇韓市府局處長態度友善積極現市議員張漢忠說高雄市政府路平做得好期待市長韓國瑜帶領團隊彌補過市府不足建議市府多編預算錢鋪路網讚理性質詢不為黨派真正百姓著想中天新聞報導民進黨鳳山區議員張漢忠市政質詢中讚韓市府團隊中崙二路刨鋪非常順暢成效市民有感希望工務局預算能編一點預算不夠無法做條路期待韓市府能彌補前市府不夠完善地方繼續人民服務高雄更好民進黨團總召韓賜村日前議會問到給現在韓市府打幾分表示感覺現在市府態度改變很多議員打電話反映問題局長會馬上給回應並會勘這是一個沒明白打分數掩市府肯定網友表示理性質詢不為黨派真正百姓著想跨越黨派為民爭取建設給這兩位綠議員肯定互相尊重好好問政得到正面聲量中天新聞中時電子報,1
人民幣兌美元中間價貶值284基點 跌至年最低值2019-05-15 13:52 聯合報 記者 聯合報 記者 李仲維 即時報導人民幣兌美元匯率中間價已近五個交易日走低中國外匯交易中心今天下調人民幣兌美元匯率中間價284基點報6.8649跌年最低值外匯市場離岸人民幣兌美元即期匯率近兩個交易日一度跌破6.91目前稍回檔在岸人民幣兌美元即期匯率6.866.88區間震盪美元指數則前一個交易日晚間波動攀升北京時間15日10時三者報6.89986.870697.54中信證券分析師明明認為從貿易差額經常項目差額角度當前貿易差額呈收縮趨勢經常項目差額有所提高恐難以持續陸股通近期呈現持續淨流出趨勢人民幣匯率波動加大銀行結售匯差額月月收窄結合2018年年初人民幣匯率走勢匯率波動外部環境變動不斷加深,433天貴州男子從南極跑北極 途中還被綁架2019-05-15 14:12 聯合報 記者 聯合報 記者 李仲維 即時報導紅星新聞報導今年49歲白斌出生貴州省思南縣一個小山村2018年月日白斌團隊南極長城站出發準備完成從南極跑北極目標433日日夜夜白斌腳南緯62度12分跑北緯66度34分從極地到赤道再到極地途經13個國家全程萬4110.52公里日均55.68公里跑完相當600場馬拉松距離之前還沒有中國人完成過這樣挑戰白斌說這段期間每天跑吃睡還經歷過三次傷病一次綁架差點撐下去接下希望明年完成快攀聖母峰目標,0
近日一名女網友Dcard分享學校附近看到徵人啟事照片曝光底下網友紛紛笑翻女網友表示中國科技大學附近路上看到有個還在施工裝潢店面外面掛一張明顯徵人紅布條上面竟寫不知賣不要先應徵女網友滿頭問號直說這應一個幽默老闆底下網友搞笑回覆知道做什麼不要先給薪水覺得有點心動前幾天看到特地停下差點車撞網友分享有趣廣告布條像是媽祖託夢說開早餐店中時電子報,經濟部加工出口區管理處高雄分處高雄市政府訓練就業中心15日上午在區加工出口區區第一訓練教室舉辦現場徵才活動現場12家廠商參徵才提供290職缺求職轉職民眾把握廠商直接面談機會加工出口區管理處指出高雄加工出口區與訓中心服務民眾求職轉職需要辦理現場徵才活動參加廠商有頎邦科技志昱科技杰鑫國際物流台灣博士電子銳康科技威日光電元泰發實業天二科技光頡科技旭宏科技昶亨科技代收履歷高雄晶傑達光電代收履歷12家公司職缺項目包括設備工程師產品開發專案工程師行政業務助理倉庫品管員日班產線技術員操作工…部分廠商提供員工旅遊三節獎金年終獎金免費供餐福利總計提供290職缺歡迎求職及轉職民眾踴躍參加高雄加工區補充每月定點定時園區舉辦現場徵才活動創造區內廠商勞工朋友及求職人員三贏效益加速提高媒合成功機會啟動高雄加工區成長動力來源工商 ,0
台中地檢署檢察官陳隆翔彰化地檢署任內偵辦曲棍球協會涉侵占公款案遭監察委員提案彈劾台中高分檢主任檢察官李慶義表示台中高分檢去年底召集台中地檢彰化地檢及台中高分檢等單位監委所提疑點召開研討會議研議認為該案偵辦過程並無違法台中高分檢主任檢察官李慶義表示監察院去年12月日約談彰化地檢署台中地檢及台中高分檢等檢察官前台中高分檢由主持召集中檢彰檢及台中高分檢等單位檢察官進行研議該案法律適用問題並針監委所提10多項疑點召開逐一研究認為偵辦過程並無違法李慶義分析中華民國曲棍球協會民間團體蓋曲棍球協會支出憑證圓戳章裁撤單位廢棄章是否為公印文事實認定適用法律檢察官偵查核心職權不容監察院侵越李慶義強調檢察官陳隆翔調查該案搜索曲棍球協會時發現林姓理事長很少協會未介入會務曲棍球協會秘書長李淑惠涉嫌業務侵占偽造文書已有論處李淑惠坦承犯行歸還侵占費用當時中風臥床給予緩起訴處分並無不當中時 ,台北地院法官陳諾樺月承審日本料理店董娘遭擄走談判嫌犯聲押案裁定不准竟法官論壇怒嗆檢方未依法逮捕被告指責檢察官事偷塞卷證事後證明擺烏龍儘陳諾樺道歉台北地院自律委員會認定其行違反法官倫理規範昨建議書面警告並列年終職務評定參考男子徐春暉涉嫌率眾押走北市知名日本料理餐廳答姓董娘台北地檢署偵訊後聲押女法官陳諾樺審理裁定釋放徐男檢方氣跳腳提抗告惹怒陳女法官論壇發文抨擊檢察官事偷補逮捕通知書高院撤銷裁定發回北院重裁北院另名法官重開羈押庭時確認律師影印卷內逮捕書檢方逮捕程序合法改裁定將徐男收押禁見北院火上加油發布新聞稿批檢察官聲押庭未到庭導致院檢之爭越演越烈資深庭長曉以大義下陳諾樺法官論壇致歉為題承認漏看逮捕通知書事一時衝動發言導致紛擾深感歉意外界責難聲不斷要求司法院懲處陳女北院製作調查報告司法院退回北院自律會開會討論認定陳違反法官倫理規範法官應保有高尚品格謹言慎行避免不當或易認為損及司法形象行為建議院長黃國忠給書面警告,0
