label,question,syn_question
同婚專法三讀 24 同性伴侶登記結婚立法院昨天三讀同婚專法台灣成亞洲第一同婚合法化國家對此許多人公開表示2020要力挺蔡英文連任名嘴羅友志則表示支持同婚支持蔡英文引起網友不滿砲轟羅友志表示三年前參加身為同志乾妹妹婚禮當下感受不易家開心之餘不免感動落淚昨天立法院三讀同婚專法羅友志好奇詢問同志朋友妳不會支持蔡英文原本想藉此得知一直反對蔡英文乾妹妹想法沒想到竟回應現在想524登記看看雖震驚預料之中羅友志臉書全文圖羅友志臉書提問引起同志朋友砲轟表態堅決支持蔡英文之外還隔空交火徹底翻臉蔡英文初選時表示愛做XX這讓羅友志反嗆選舉更感嘆同志支持蔡英文風向已經成功帶起中時電子報,立法院17日三讀同婚專法草案北市府統計今天下午時已有153同婚伴侶預約月24日辦理登記同性婚姻登記相關作業辦法規範北市民政局表示目前仍須等待內政部公布相關細節因應開放同婚登記首日預期人潮安排妥適人力教育訓練以利同婚登記流程順暢同婚專法草案北市民政局長藍世聰表示台灣多元包容社會同婚專法草案帶來意義代表台灣多元友善追求自由人權對北市民政局有榮尤其民政局當初提出釋憲如今走近年終於通過同婚合法化高興民政局沒有缺席藍世聰說北市府提釋憲最大意義在整個社會爭議透過建立一個理性溝通平台解決推動同婚過程中看到立法院理性溝通減少很多衝突發生這是一個模式並透過大法官釋憲同婚議題理性溝通平台未來政府處理鄉爭議問題參考方式處理中時 ,1
網友貼出早上高雄旗津照片諷刺韓流發威助攻 高雄成雪色世界圖擷取自PTT即時新聞綜合報導今天228連假天各地天氣晴朗適合出遊中南部地區擴散條件不佳易有空氣汙染物累積高雄市上午時10座空品測站達不良紅色警戒等級PTT網友貼出照片酸說韓流發威助攻高雄成雪色世界環保署空氣品質監測網資訊西半部新北市桃園市新竹縣市苗栗縣台中市彰化縣南投縣雲林縣嘉義縣市台南市高雄市屏東縣14縣市金門縣空品不佳高雄市現有12座空品測站上午時10座達不良紅色警戒等級對此一名PTT網友貼出高雄旗津照片表示剛剛起床看到外面霧濛濛一片打開新聞『韓流發威助攻高雄成雪色世界』真的太神高雄說小妹先來打雪仗網友藉高雄空品差來諷刺特定媒體造神現象空氣品質差原因環保署解釋今日東北季風減弱環境場逐漸轉為偏東南風西半部位背風面風速弱整體擴散條件差天氣穩定擴散不佳西半部14縣市空品拉警報擷取自環保署空氣品質監測網,韓國瑜當選市長一度住進左營蓮潭會館11樓行政套房沒想到這間套房今年月日起更名總統套房圖擷取自蓮潭國際會館 Garden Villa臉書粉專即時新聞綜合報導高雄市長韓國瑜去年當選市長沒有入住市長官邸住左營蓮潭會館11樓一間行政套房當中沒想到這間套房今年月日起更名總統套房業者還表示總統套房目前提供房客使用韓國瑜訂房會協助保留ETtoday報導這間總統套房約27坪走進套房最先見客廳一個吧台餐桌沙發往內走則臥室緊臨臥室浴室裡面一個圓形浴缸浴室則是乾濕分離會館人員透露當時韓國瑜套房客廳沙發開直播編則對面韓國瑜生活習慣並沒有清楚會館人員提到套房一晚要價萬3000多元目前提供房客使用韓國瑜訂房話會協助保留,0
PTT網友發文圖翻攝批踢踢實業坊高雄市長韓國瑜掀起韓流多家民調穩居第一韓粉眾多所到之處轟動更是新聞每日追逐焦點自稱初代韓黑民眾發文表示選前經常黑韓還用羞辱性字眼罵近期突然轉性見所有人圍攻利用愈來愈同情網友PTT論壇發文表示本初代韓黑北農時期討厭選前時常黑還韓狗魚韓狗魚稱呼不知剛剛照常韓總新聞科科笑突然覺得可憐現在幾乎所有人圍攻有點知名度踩一腳……每天言論恥笑然很多醜化梗圖話鋒一轉網友寫道慘了是不是黑久同情然後要轉粉有人覺得對此網友們紛紛留言黑到深處自然粉惡意攻訐 邁向總統之路必經過程垃圾民進黨 惡劣民調最高勿嘴一直日久生情王世堅中民調越越高dpper眼光要放遠2020一定輸要輸漂亮中時電子報,議員針對性砲轟 12歲男童特地南下舉牌挺韓還記12歲韓粉魏小弟427挺韓大會魏小弟親自南下鳳山手拿百言書力挺高雄市長韓國瑜出馬選總統近日魏小弟看到韓國瑜市議會遭到市議員砲火猛烈圍剿難過在家裡哭三天更拜託父親帶高雄市議會韓國瑜加油打氣月27日力挺韓國瑜參選2020造勢大會熱情韓粉全台各地包遊覽車南下高雄鳳山力挺韓國瑜競選總統一位12歲韓粉魏小弟帶著手寫百言書力挺韓國瑜阿伯希望選總統相信韓國瑜會幫小朋友打造一個更好未來近日魏小弟看到韓國瑜議會議員砲火猛烈追心情跌宕谷底在家裡哭三天心疼韓國瑜魏小弟更央求父親帶高雄市議會韓國瑜加油打氣最後如願見到韓小弟開心不能自己更喊話我永遠支持韓國瑜阿伯中時電子報,1
夏日奇幻文藝市集--妖怪來納涼活動演出者祭出妖怪裝扮陳淑芬攝台中文學館18日有妖怪出沒台中市文化局舉辦夏日奇幻文藝市集--妖怪來納涼活動忠孝國小學童戴著妖怪面具跳妖怪手錶熱閙開場專業coser化身櫻花妖桃花妖帶舞蹈表演小朋友穿著妖怪裝扮到場現場熱鬧有趣月18日國際博物館日台中市文化局文學館舉辦夏日奇幻文藝市集--妖怪來納涼活動鬼島探訪台灣妖怪奇幻文藝特展結合規劃十妖出陣來納涼闖關趣味遊戲吸引大小朋友參加一起妖怪同樂文化局專門委員鍾正光表示台中文學館105年月開館陸續推出台中文學市集推出13場共吸引千多人次參與文學市集活動妖怪為主題整合台中20多個文化館舍舉辦遇見博樂--遊館舍抽好禮活動活動月底歡迎民眾利用假日走逛博物館中時 ,苗栗縣政府積極推動青年政策為展現縣青年實力輔導創業外更打造行銷通路今年縣府結合青年業者建立品牌菁市集縣鄉鎮台中市展售苗栗農產文創好物推廣至全國苗栗青年返鄉發揚農產外更開闢新客群百大青年農民組成大青皇巢創意書籍包裝推出天農八舖將在地芋頭條樂仙米草莓乾蜜香紅茶柚子蔘梅乾菜紅棗乾及龍眼蜂蜜加強行銷農產三義鄉青稻夫農產工作室優質米利用青稻糙米研發適合幼童長米星星推出高規格零食饗宴開拓客源苗栗縣青年積極擴展行銷通路縣府致力打造銷售平台縣府勞工及青年發展處長彭德俊表示往年規畫多場市集今年打造菁市集盼能透過品牌經營打響名號將在台中市苗栗市卓蘭鎮頭份市打造泡泡小丑童趣氣墊樂園主題市集帶領青年走出苗栗打響文創品知名度,0
中國將送高雄隻貓熊取自潘恆旭臉書記者葛祐豪高雄報導高市觀光局長潘恆旭今天證實中國將送兩隻貓熊給高雄壽山動物園市府成立貓熊小組準備迎接雄雄融融潘恆旭今早臉書貼出貓熊照片定位重慶市還寫融融雄雄受訪時證實中國重慶動物園指定致贈兩隻貓熊給高雄高市觀光局也將成立貓熊小組預計月份前往重慶考察潘恆旭說台灣省人大代表許沛上周抵台接觸表示活絡重慶高雄兩城市交流重慶動物園將要送兩隻貓熊給壽山動物園歲母貓熊融融歲公貓熊雄雄,大熊貓們紛紛上前圍觀意外掉進飼養池內女童嚇得現場民眾尖叫連連深怕女童遭到攻擊圖擷取自微博即時新聞綜合報導中國四川成都大熊貓繁育研究基地昨日驚傳有女童掉進熊貓飼養池突意外引起熊貓們紛紛上前圍觀女童現場民眾尖叫聲更是此起彼落保全得知立刻用長竿將女孩拉平安救出女童中媒報導成都大熊猫繁育研究基地研究大熊貓科繁殖聞名然昨天有家長帶小孩參觀大熊猫區時疑似女童放在圍欄上觀導致女童不慎掉落數公尺深飼養池內突意外大熊貓們紛紛好奇走上前圍觀女童隻熊貓更女童不到幾步距離現場數百位民眾嚇得尖叫連連直呼熊貓情況十分危急保全利用長竿順利將女童拉回大熊貓們未驚嚇對此成都大熊猫繁育研究基地事後回應大熊猫屬大型猛獸尤其歲大熊猫更具有攻擊力連飼養員必須嚴格規定進行作業民眾參觀時務必注意高度安全切勿擅闖飼養池引發意外觀看影片請點此連結,0
鍾麗緹感慨張倫碩結婚前差很大圖取材自鳳凰網娛樂微博人魚夫妻鐘麗緹張倫碩帶張倫碩媽媽加入真人秀最愛的女人公開婆媳夫妻日常鐘麗緹繼和小12歲嫩尪遮鏡頭爆口角節目嘉賓蔡少芬王黎雯陳芊芊聊天時忍不住抱怨張倫碩結婚前差很大鐘麗緹節目嘉賓聊天時忍不住感慨張倫碩結婚前差很大表示還沒結婚前每個月生理期情緒不好張倫碩會暖心抱哄婚後張倫碩直接要鍾麗緹注意一下情緒來賓聽完紛紛為鐘麗緹抱不平認為張倫碩要耐心照顧鐘麗緹嘆不能溫柔一下現在不耐煩難受攝影棚影片張倫碩表情超尷尬中時電子報,女神鍾麗緹2016年梅開三度一同合作實境秀天菜男星張倫碩閃婚兩人相差12歲這段感情備受關注然夫妻倆結婚年感情一直相當甜蜜最近更攜手參加真人秀最愛的女人還把婆婆請節目張媽媽鬆口首度談婆媳關係誠實回答不少網友聽暴怒鍾麗緹再度攜手嫩尪張倫碩上真人秀昨最愛的女人開播婆婆受邀節目免俗問到媳婦評價鍾麗緹讚絕口表示媳婦沒什麼毛病做事面面俱到很少擔心硬要說話唯獨一點幾歲幾歲太完美而鍾麗緹婆婆10歲此話一出粉絲為鍾麗緹抱不平解讀張媽媽始終介意媳婦比兒子年長怒嗆張倫碩婚前演藝圈根本沒存在感靠鍾麗緹資源更狠酸年輕點鍾麗緹不會兒子結婚有人則緩頰說張媽媽意思應該說媳婦完美幾歲完美過頭中時電子報,2
本土劇女星李燕今18日證實交往一年趙駿亞分手稍早李燕被問此事僅說個性不合補充說硬要問到底不合太傷令外界好奇李燕先前談擇偶條件強調未來想要風花雪月平淡相守就夠似乎端倪37歲李燕歲趙駿亞一年前承認交往李燕過彰化縣議長謝典霖18月短命婚姻起初談離婚主因兩人口徑一致說生活時爭吵李燕稱個性差太多必須說這份婚姻幸福和諧沒有女人會放棄今年初受訪哽咽分享分手內幕原因直指四字不快樂李燕表示婚姻中適應不良價值觀落差我覺留在不快樂謝典霖不快樂當時趙駿亞交往中表示未來沒特別期待小孩想要了解相伴一定風花雪月生活穩穩當當一個陪伴趙駿亞今年初問到是否可能結婚搖頭表示不會當時外界倆口感情穩定有共識如今看來似乎暗示出問題中時電子報,同婚專法三讀 24 同性伴侶登記結婚立法院昨天三讀同婚專法台灣成亞洲第一同婚合法化國家對此許多人公開表示2020要力挺蔡英文連任名嘴羅友志則表示支持同婚支持蔡英文引起網友不滿砲轟羅友志表示三年前參加身為同志乾妹妹婚禮當下感受不易家開心之餘不免感動落淚昨天立法院三讀同婚專法羅友志好奇詢問同志朋友妳不會支持蔡英文原本想藉此得知一直反對蔡英文乾妹妹想法沒想到竟回應現在想524登記看看雖震驚預料之中羅友志臉書全文圖羅友志臉書提問引起同志朋友砲轟表態堅決支持蔡英文之外還隔空交火徹底翻臉蔡英文初選時表示愛做XX這讓羅友志反嗆選舉更感嘆同志支持蔡英文風向已經成功帶起中時電子報,0
新北市副市長謝政達15日下午率公安聯合稽查小組三重區違規營業色情養生館執行斷水斷電月底被查獲涉非法性交易已將負責人妨害風化送辦月查出擅自變更使用公安申報造成治安公安疑慮未見改善依法強制斷電處分三重分局接獲民眾檢舉位三重區碧華街泰谷養生館暗藏春色月29日前往調查當場查獲按摩小姐客人包廂中事半套性交易將吳姓負責人陳姓員工依妨害風化罪嫌送辦月19日副市長謝政達率經發局城鄉局消防局工務局拆除大隊三重分局實施聯合稽查確認該場擅自變更使用公安申報分間牆材料不符及破壞樓板實質違規當場張貼嚴重違規場紅單並限一個月完成改善昨日下午謝政達率公安小組再次複查業者未改善當場執行斷水斷電處分禁止其繼續營業謝政達表示貫徹新北市安居三箭政策影響治安公安場所查獲明確犯罪事證立即排定公安聯合稽查並執行強制斷電處分警方呼籲民眾發現經營色情賭博等場應立即警方報案避免房子出租不法分子造成社會治安疑慮損及權益中時 ,新北市三重區泰谷養生館日前新北市警方查獲涉嫌媒介色情按摩並遭公安小組查獲該養生館內部具實質公安缺失今日下午副市長謝政達率公安聯合稽查小組執行斷電處分新北市政府警察局伏查已久三重區碧華街泰谷養生館查獲負責人經營色情涉嫌刑法妨害風化罪並將相關涉案人依法送辦而場公安檢查具有擅自變更使用公安申報分間牆材料不符及破壞樓板缺失造成嚴重治安公安危害疑慮提報公安小組優先執行強制斷電處分貫徹侯市長安居三箭－新北三安大執法『治安公安交安』違法零容忍政策公安組持續結合市府行政團隊力量影響治安公安場所查獲明確犯罪事證立即排定公安聯合稽查並針違法業者執行鐵腕斷電處分新北副市長謝政達率公安聯合稽查小組執行斷電處分強調維護三安決心吳家詮翻攝新北市政府說有鑑近日本市查獲多起不肖業者暗自經營色情之場造成社會觀感不佳未遵守建築法相關規定公安小組針嚴重影響治安公安場所查獲色情經營事證且場所亦具嚴重公安缺失立即執行建管斷電強制處分其無法營業還予市民清淨安居生活環境中時電子報,2
櫃買中心17日表示相關規定每年均會公司申報財報定期檢討上櫃公司產業類別營業務性質改變經營策略調整之上櫃公司重新調整其產業類別原證券代號不變108年度共有家上櫃公司調整產業類別並自108年月日起實施創新新零售公司股票代號3085資訊服務業調整電子商務業東浦精密光電公司股票代號3290通信網路業調整電子零組件業御頂國際公司股票代號3522光電業調整觀光事業慕康生技醫藥公司股票代號5398電子零組件業調整業上揚科技公司股票代號6222電腦週邊設備業調整光電業長華科技公司股票代號6548光電業調整半導體業工商 ,"美國富比士雜誌時間15日發布2019年全球上市公司,000強受益2018年營收利潤資產市值綜合成長大陸穿戴裝置企業小米集團首次入榜排名第426位2018年全球電子科技公司百強中排名第73位榜單所示全球知名企業愛迪達還排小米排名第430位上榜,000家上市公司中金融行業企業入榜數量達453家位居行業第一科技行業企業上榜數量154家企業中國互聯網科技企業僅20家入圍包括阿里巴巴騰訊富比士每年評選一次全球上市公司,000強被視全球最具權威最受關注商業企業排行榜企業營收利潤資產市值四大指標進行綜合評分選出全球規模最大最具實力2000家上市公司今年榜單一共61個國家企業入選美國擁有575家公司中國包括香港緊隨其數量達309家超過日本223家2003年富比士首次發布全球上市公司,000強榜單一年美國貢獻776家公司中國包括香港43家公司上榜工商 ",0
記者王捷台南報導連姓男子平常送西瓜維生現剖西瓜客人試吃車子會放一把西瓜刀沒想到妻子吵架引來鄰居報案警方發現他車西瓜刀社會秩序維護法函送開罰雖然連男吵贏老婆得知西瓜刀罰4000元衰稱老婆連男工作開著小貨車產地載送西瓜給下游客戶平常他會開不同小貨車送西瓜西瓜刀放車月間送完西瓜回家妻子認為連男平常沒做家事沒賺錢兩人大吵一番連男一氣之下開著客車出門將近晚餐時間回家妻子見連男回家有意想和解但連男一肚子怨氣沒地方發洩站車子旁邊妻子吵起鄰居報警警員一到場發現連男車西瓜刀持刀家暴立即將連男壓制警所連男才說出西瓜刀用途正當理由警方認為連男車上並沒有西瓜全案社會秩序維護法63條函送簡易庭連男得知西瓜刀罰錢哀嘆老婆永遠不應老婆吵架連姓男子車上放一把工作西瓜刀車邊妻子吵架警方場後依社會秩序維護法函送資料記者王捷翻攝,記者蔡彰盛新竹報導新竹市朱姓男子月間友人喝酒喝清晨回家步行住家門口時黑狗不斷吠叫驚嚇朱男竟跑回車西瓜刀先是刀背打狗再揮數刀砍殺黑狗將狗砍死罷手新竹檢方依違反動保罪嫌起訴朱嫌檢警調查朱男2015年恐嚇取財罪遭判刑月間獲易科罰金不知悔改月間友人飲酒清晨返家行經施男住家門口因施男黑狗不斷吠叫朱男相當不滿朱男憤而持西瓜刀先刀背拍打黑狗然後接連揮刀將黑狗活活砍死附近居民聽到黑狗哀嚎聲衝去查看發現黑狗躺臥血泊全案新竹動保所受理調查朱男才緊急施家和解施家未提告毀損殘殺動物違反動保法全案移送檢方偵辦新竹檢方認為朱男惡行涉違反動物保護法任意宰殺動物罪嫌年再犯有期徒刑累犯建請法官加重量刑醉男遭黑狗狂吠受驚竟持西瓜刀砍死牠檢方起訴記者蔡彰盛攝,0
